Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Original Media Link,,,,,,,
2015,3,13,,2015,3,17,,3-17 March 2015,Azerbaijan and Armenia swap accusations of foiling peace talks,"Azerbaijan's Foreign Minister Elmar Mammadyarov accused Armenia of hampering efforts to settle the conflict, saying on March 13 that Baku was ready to work on a peace agreement. Armenian President Sargsyan blamed Azerbaijan of backtracking in peace talks, saying on March 17 that Yerevan was ready for dialogue. ",,,,,,,#003e51,,,,,,,,
2015,4,8,,,,,,8 April 2015,Azerbaijan call for EU to take a stand on NK status,"Azerbaijani Foreign Minister Elmar Mammadyarov called on the EU to take a ""clear position"" on conflicting claims over Nagorno-Karabakh's status at a meeting with the EU's Commissioner for European Neighbourhood Policy and Enlargement Negotiations Johannes Hahn.",,,,,,,#003e51,,,,,,,,
2015,4,8,,,,,,8 April 2015,Russia urges compromise on NK,"After a meeting with his Armenian counterpart, Russian Foreign Minister Sergey Lavrov said that ""all Russian actions are aimed at finding a mutually acceptable solution as soon as possible"". A resolution, he said, should help to lift any blocades or sanctions.",,,,,,,#003e51,,,,,,,,
2015,4,24,,,,,,24 April 2015,World leaders commemorate 100th anniversary of Armenian genocide,"The French and Russian presidents, the secretary general of the Council of Europe, and a number of other high-ranking foreign officials visited Yerevan to take part in a ceremony commemorating the 100th anniversary of the 1915 Armenian genocide.",https://icg-prod.s3.amazonaws.com/NKVE_2015_Apr_24.jpg ,Russian Presidential Administration,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Apr_24.jpg ,,,#003e51,,,,,,,,
2015,4,30,,,,,,30 April 2015,Co-Chairs continue preparations for leaders' meeting,The OSCE Minsk Group Co-Chairs held two separate meetings with the Armenian and Azerbaijani foreign ministers in Paris to discuss a potential meeting of their leaders later in the year.,,,,,,,#003e51,,,,,,,,
2015,5,3,,,,,,3 May 2015,Parliamentary poll held in de-facto NK,"The local ruling elite in Nagorno-Karabakh affiliated with the ""Free Homeland"" political party won a majority of seats in the elections for the new de facto parliament. Azerbaijan condemned the vote and threatened legal action against foreign observers in the region. On April 30, the OSCE Minsk Group Co-Chairs issued a statement saying: ""In the context of a comprehensive settlement of the conflict, we recognize the role of the people of Nagorno-Karabakh in deciding their future. However, none of our three countries, nor any other country, recognizes Nagorno-Karabakh as an independent and sovereign state"".",,,,,,,#003e51,,,,,,,,
2015,5,5,,,,,,5 May 2015,Sargsyan meets U.S. Co-Chair in Washington,"During a visit to Washington, Armenian President Serzh Sargsyan met with the U.S. Co-Chair of the OSCE Minsk Group, Co-Chair James Warlick, to discuss the current state of the Nagorno-Karabakh peace process.",https://icg-prod.s3.amazonaws.com/NKVE_2015_May_5.jpg,Office to the President of Armenia,,https://icg-prod.s3.amazonaws.com/NKVE_2015_May_5.jpg,,,#003e51,,,,,,,,
2015,5,21,,,,,,21 May 2015,Sargsyan to EU: don't back Azerbaijan,"Armenian President Serzh Sargsyan called on the EU not to side with Baku amid escalating tensions over Nagorno-Karabakh. The bloc should steer clear of ""Azerbaijan's unconstructive initiatives circulated at various international forums and by that to avoid sharing responsibility with the latter for increasing tension in our region"", he warned in a speech at the Eastern Partnership Leaders’ Summit in Riga.",,,,,,,#003e51,,,,,,,,
2015,5,25,,,,,,25 May 2015,"Lavrov sees peace talks with ""strengthening optimism""","Russian Foreign Minister Sergey Lavrov said that ""past groundwork"", including by the OSCE Minsk Group Co-Chairs, offered a base to move forward with peace talks.  “Now is the time to translate this common understanding into concrete formulations. Usually this is not an easy task”, Lavrov said after meeting with his Azerbaijani counterpart. “Honestly, I view the current situation with cautious, but strengthening optimism”.",,,,,,,#003e51,,,,,,,,
2015,5,27,,,,,,27 May 2015,De facto NK Supreme Court rejects appeal of Azerbaijani detainees,"De facto Nagorno-Karabakh's Supreme Court rejected the appeal of two jailed Azerbaijani citizens. Dilham Askerov was sentenced to life in prison and Shahbaz Guliyev to 22 years in December 2014 on charges of espionage, sabotage and murder. The Azerbaijani foreign ministry has repeatedly criticised the ongoing trial proceedings. ",,,,,,,#003e51,,,,,,,,
2015,5,29,,,,,,29 May 2015,Azerbaijan praises OIC's support on NK,"Azerbaijani Foreign Minister Elmar Mammadyarov welcomed the support of Organisation of Islamic Cooperation states for what is said was the support of the 57-member body’s foreign ministers for its demand that for the ""immediate, unconditional and complete withdrawal of Armenian armed forces from all our occupied territories"". ",,,,,,,#003e51,,,,,,,,
2015,6,2,,,,,,2 June 2015,UN special rapporteur condemns Azerbaijan over treatment of activists,"The UN Special Rapporteur on the situation of human rights defenders, Michel Forst, criticised the “relentless prosecution and repression of prominent rights activists in Azerbaijan” and called for their immediate release ahead of the first edition of the European Games in Baku.",,,,,,,#003e51,,,,,,,,
2015,6,10,,,,,,10 June 2015,Sargsyan meets U.S. Co-Chair,President Serzh Sargsyan met with U.S. Co-Chair James Warlick in Yerevan for their second meeting in just over one month. The two met in Washington on May 5. No details of their discussion were made public.,,,,,,,#003e51,,,,,,,,
2015,6,12,,2015,6,28,,12-28 June 2015,Azerbaijan host inaugural European Games,"Azerbaijan hosted the first edition of the multi-sports European Games, spending lavishly on new venues and grand ceremonies. Armenian athletes participated in the event",,,,,,,#003e51,,,,,,,,
2015,6,16,,,,,,16 June 2015,EU rights court awards compensation to seven people displaced by NK war,The European Court of Human Rights ordered Armenia and Azerbaijan to pay compensation for violations of property rights to six Azerbaijanis displaced from Lachin district and one Armenian displaced from the former Shahumyan district. The defendants had not been able to return home since the start of the conflict. The Court proposed that both states establish a mechanism allowing other displaced persons to appeal for compensation in the future.,,,,,,,#003e51,,,,,,,,
2015,6,22,,2015,7,6,,22 June 2015,"""Electric Yerevan"" protests call for lower tariffs","Roughly 2,000 protesters marched in central Yerevan to protest planned hikes in electricity tariffs. Many activists spent several nights in the street. Demonstrations cooled a week after President Serzh Sargsyan's decision to suspend the increase.",https://icg-prod.s3.amazonaws.com/NKVE_2015_Jun_22.png,CIVILNET,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Jun_22.png,,,#003e51,,,,,,,,
2015,7,2,,,,,,2 July 2015,Russia signs $200-million arms deal with Armenia,Russia grants Armenia a $200-million loan to purchase Russian weapons and modernise its army.,,,,,,,#003e51,,,,,,,,
2015,7,8,,,,,,8 July 2015,De facto leader visits UK,"The de facto President Bako Sahakyan delivered a speech at the British parliament, calling closer ties between Britain and Nagorno-Karabakh. He also spoke to experts at a Chatham House event. Azerbaijani Foreign Ministry summoned the British ambassador to Baku in protest over Bako's visit.",,,,,,,#003e51,,,,,,,,
2015,7,17,,,,,,17 July 2015,Lavrov sees room for progress in near future,"Russian Foreign Minister Sergey Lavrov said Russia would intensify its efforts to resolve the Nagorno-Karabakh conflict, after a meeting with his Azerbaijani counterpart Elmar Mammadyarov in Moscow and phone call with Armenia's foreign minister. ""I think there exists a common ground for achieving results. We can make progress in the near future"", Lavrov said.",https://icg-prod.s3.amazonaws.com/NKVE_2015_Jul_17.jpg,Foreign Ministry of Russia,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Jul_17.jpg,,,#003e51,,,,,,,,
2015,7,20,,2015,7,23,,20-23 July 2015,Co-Chairs back proposals for NK settlement,"The OSCE Minsk Group Co-Chairs welcomed Armenian President Serzh Sargsyan and Azerbaijani President Ilham Aliyev's readiness to meet and discussed ""current proposals to advance negotiations"" on a visit to Baku and Yerevan.",,,,,,,#003e51,,,,,,,,
2015,8,13,,,,,,13 August 2015,Prominent Azerbaijani activists sentenced,"Prominent Azerbaijani activists Leyla and Arif Yunus were convicted of fraud related to their NGO work, which included regular contacts and joint projects with organisations in Armenia. They face prison sentences of eight and seven-and-a-half years, respectively.",,,,,,,#003e51,,,,,,,,
2015,9,1,,2015,9,10,,1-10 September 2015,Azerbaijan jails investigative reporter sparking international outrage,"Baku City Court sentenced an investigative reporter for Radio Liberty, Khadija Ismayilova, to seven and a half years in prison on charges of embezzlement and tax evasion in a ruling criticised by the UN High Commissioner for Human Rights. The EU Parliament adopted a special resolution on 10 September, denouncing ""the unprecedented repression against civil society in Azerbaijan"".",,,,,,,#003e51,,,,,,,,
2015,9,1,,,,,,1 September 2015,Lavrov says seeking common ground in peace talks,"Russian Foreign Minister Sergey Lavrov called for the need ""to move toward a generally acceptable common denominator"" in the Nagorno-Karabakh negotiation process. ""I hope we will make progress"", Lavrov said in a meeting with Azerbaijani President Ilham Aliyev in Baku. ",,,,,,,#003e51,,,,,,,,
2015,9,3,,,,,,3 September 2015,Sargsyan thanks Putin for seeking new paths for peace,"Armenian President Serzh Sargsyan thanked President Vladimir Putin on a visit to Moscow for Russia's efforts ""to look for new avenues aimed at the resolution of the Nagorno-Karabakh conflict"".",https://icg-prod.s3.amazonaws.com/NKVE_2015_Sep_3.jpeg,Russian Presidential Administration,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Sep_3.jpeg,,,#003e51,,,,,,,,
2015,9,13,,,,,,13 September 2015,NK holds local elections,"De facto Nagorno-Karabakh held local elections, with most seats going to independent candidates. Turnout was reported at 56 per cent. The ruling Free Homeland party won a quarter of all the seats. Azerbaijani Foreign Ministry condemned the vote.",,,,,,,#003e51,,,,,,,,
2015,9,25,,,,,,25 September 2015,FMs discuss escalation in New York,"Armenia and Azerbaijan's foreign ministers met amid hightened tensions on the front lines, where the OSCE Minsk Group Co-Chairs said both sides were ""using mortars and heavy weapons in and around civilian areas"". The Co-Chairs condemned the violence and called on the sides to accept a proposed mechanism to investigate ceasefire violations. ""Armenia has agreed to discuss the details of the mechanism, and we urged Azerbaijan to do the same"", they said in a statement.",https://icg-prod.s3.amazonaws.com/NKVE_2015_Sep_25.jpg,OSCE,,https://icg-prod.s3.amazonaws.com/NKVE_2015_Sep_25.jpg,,,#003e51,,,,,,,,
2015,10,3,,,,,,3 October 2015,"After clashes, head of Russia-led CSTO visits Armenia","Following recent clashes along the Armenian-Azerbaijan state border, Secretary General of the Collective Security Treaty Organization (CSTO) Nikolay Bordyuzha visits Yerevan to meet the Armenian President Serzh Sargsyan.",,,,,,,#003e51,,,,,,,,
2015,10,26,,2015,10,28,,28 October 2015,Azerbaijan and Armenia say ready for summit by years' end,Armenia and Azerbaijan reiterated their readiness to hold a summit over Nagorno-Karabakh by the years' end during a visit of the OSCE Minsk Group Co-Chairs to the region.,,,,,,,#003e51,,,,,,,,
2015,11,1,,,,,,1 November 2015,Aliyev's ruling party wins majority in parliamentary poll,"Loyalist of President Ilham Aliyev Yeni [New] Azerbaijan Party (YAP) won a majority of seats in parliamentary elections shunned by the opposition and by election monitors. The OSCE refused to send observers to monitor the vote, saying Baku sought to impose too many restrictions.",,,,,,,#003e51,,,,,,,,
2015,11,9,,,,,,9 November 2015,Lavrov visits Yerevan,Russian Foreign Minister Sergey Lavrov met with his Armenian counterpart Edward Nalbandian and Armenian President Serzh Sargsyan. No details of their discussions of the Nagorno-Karabakh issue were made public.,,,,,,,#003e51,,,,,,,,
2015,11,25,,,,,,25 November 2015,Armenia detains 21 people in failed plot,"Armenia said it detained 21 people, including women and Nagorno-Karabakh war veterans, and found a stash of weapons at their appartments. They were accused of plotting to assassinate officials.",,,,,,,#003e51,,,,,,,,
2015,12,3,,,,,,3 December 2015,"Co-Chairing states call for urgent talks, say ""status quo unsustainable""","In a rare joint statement, the Heads of Delegation of the OSCE Minsk Group Co-Chair countries appealed to all sides in the conflict to renew their committment to peace talks. ""With the significant escalation in violence along the Line of Contact and Armenia-Azerbaijan border this year, the status quo has become unsustainable"", they said in a statement. It urged the sides to adopt risk-reduction measures, including the proposed mechanism to investigate ceasefire violations. ""We appeal to the sides in the strongest possible terms to reduce tensions and protect lives"". ",https://icg-prod.s3.amazonaws.com/NKVE_2017_Jan_9.jpg,OSCE,,https://icg-prod.s3.amazonaws.com/NKVE_2017_Jan_9.jpg,,,#003e51,,,,,,,,
2015,12,6,,,,,,6 December 2015,Armenian referendum boosts PMs' powers,"Armenians voted overwhlemingly in favour of a referendum to boost the prime minister’s powers, opening the way for President Serzh Sargsyan to remain in power after the end to his presidential term in 2018. The Parliamentary Assembly of the Council of Europe (PACE) observation delegation criticised the referendum, saying that it was driven by the political interests of the ruling regime.",,,,,,,#003e51,,,,,,,,
2015,12,19,,,,,,19 December 2015,No breakthrough at leaders' summit,"A summit almost one-year in the making between Armenia and Azerbaijan's presidents offered no breakthrough in peace talks. ""The summit created an opportunity for the Presidents to clarify their respective positions during their one-on-one meeting"", the OSCE Minsk Group Co-Chairs said in a statement. ",,,,,,,#003e51,,,,,,,,
2015,12,21,,,,,,21 December 2015,Azerbaijani currency devaluates by 32% ,The Azerbaijani manat lost almost 32 per cent to the U.S. dollar following the Central Bank’s decision to stop protecting its value in the face of falling oil prices. ,,,,,,,#003e51,,,,,,,,
2015,12,28,,,,,,28 December 2015,"Prominent Azerbaijani reporter jailed for ""spying for Armenia""","Azerbaijani court sentenced a prominent local reporter Rauf Mirkadirov to six years in prison for ""high treason, namely of spying for Armenia"".",,,,,,,#003e51,,,,,,,,
2016,1,15,,,,,,15 January 2016,Azerbaijani security forces disperse protest,"Azerbaijani security forces dispersed a protest in Azerbaijan's north-eastern Quba district, using water cannon and tear gas and detaining several people. People had gathered  in the district capital to protest unemployment and demand that overdue social allowances be paid off and bank loans recalculated.",,,,,,,#003e51,,,,,,,,
2016,1,22,,,,,,22 January 2016,Baku says Co-Chairs 'do not have monopoly' on peace process,"The Minsk Group Co-Chairs warned the Parliamentary Assembly of the Council of Europe (PACE) not to undermine their work by weighing in with views it said could ""complicate ongoing negotiations"". Azerbaijan criticised the statement, saying that the Co-Chairs had ""no ground for presenting themselves as a monopolist of the negotiation process"". ",,,,,,,#003e51,,,,,,,,
2016,2,13,,,,,,13 February 2016,Armenian FM accuses Baku of undermining the peace process,"Armenian Foreign Minister Edward Nalbandian accuse Baku of ceasefire violations and of refusing to implement the organisation's mechanism for investigating them. ""All these proves that Baku spares no efforts to undermine the settlement process"", he said at a meeting with the OSCE Minsk Group Co-Chairs in Munich.",https://icg-prod.s3.amazonaws.com/NKVE_2016_Feb_13.jpg,Foreign Ministry of Armenia,,https://icg-prod.s3.amazonaws.com/NKVE_2016_Feb_13.jpg,,,#003e51,,,,,,,,
2016,2,18,,,,,,18 February 2016,Armenia to switch to more active deterrence,"Armenia plans to abandon its ""static defense"" strategy and switch to a more active deterrence in its standoff with Azerbaijani troops in the Nagorno-Karabakh conflict zone, Armenian Deputy Defence Minister Davit Tonoyan said at a seminar organised by the Organization for Security and Co-operation In Europe (OSCE) in Vienna.",,,,,,,#003e51,,,,,,,,
2016,3,2,,,,,,2 March 2016,Baku accuses Yerevan of illegal activities in NK adjacent areas,"Azerbaijan published a report accusing Armenia of illegal activities in areas ajacent to Nagorno-Karabakh, calling on Yerevan to ""cease immediately and refrain in the future from any economic and commercial activities"". In the first report detailing an alleged breach of international law by Armenia, it accused Yerevan of ""destruction and looting of the cultural heritage and sacred sites in those territories"".",,,,,,,#003e51,,,,,,,,
2016,3,10,,,,,,10 March 2016,Putin talks NK with Sargsyan,Russian President Vladimir Putin discussed ways to move forward in the Nagorno-Karabkakh peace process with Armenian President Serzh Sargsyan.,https://icg-prod.s3.amazonaws.com/NKVE_2016_Mar_10.jpg,Office to the President of Armenia,,https://icg-prod.s3.amazonaws.com/NKVE_2016_Mar_10.jpg,,,#003e51,,,,,,,,
2016,3,17,,,,,,17 March 2016,Azerbaijan frees 10 prisoners,"Azerbaijani President Ilham Aliyev signed a decree ordering the release of 148 prisoners, including 10 prisoners of conscience. The prisoners released are members of the pro-democracy youth movement NIDA; human rights activists and opposition activists. Human rights defender Taleh Khasmmadov and journalist Rauf Mirgadirov have also been released after being imprisoned on politically motivated charges. ",,,,,,,#003e51,,,,,,,,
2016,3,31,,2016,4,1,,31 March - 1 April 2016,Aliyev and Sargsyan meet U.S. officials in DC,"Azerbaijani President Ilham Aliyev met with U.S. Vice President Joe Biden on March 31, while Armenian President Serzh Sargsyan met with U.S. Secretary of State John Kerry in Washington on April 1. ",,,,,,,#003e51,,,,,,,,
2016,4,2,,2016,4,5,,2-5 April 2016,Four days of fighting kills hundreds before ceasefire,Four days of intense fighting on the front lines raised fears of an all-out war. Russians helped broker a ceasefire between the warring parties on April 5. Both sides blamed each other for provoking the escalation in which an estimated more than 200 died.,,,,,,,#003e51,,,,,,,,
2016,4,2,,,,,,2 April 2016,Aliyev says will not negotiate on territorial integrity,"Azerbaijani President Ilham Aliyev insisted on the return of territories it views as occupied by Armenia. ""Our territorial integrity is not and will never be the subject of negotiations. ... As for the Armenian population living in Nagorno-Karabakh, they can live in Azerbaijan as citizens of Azerbaijan in the future"", he said. ",,,,,,,#003e51,,,,,,,,
2016,4,2,,,,,,2 April 2016,The Co-Chairs urge all sides to stop shooting ,"The Co-Chairs of the OSCE Minsk Group expressed grave concern over reported ceasefire violations in the Nagorno-Karabakh conflict zone and called on both sides to stop shooting. ""They reiterate that there is no alternative to a peaceful negotiated solution of the conflict and that war is not an option"", they said in a statement.",https://icg-prod.s3.amazonaws.com/NKVE_2017_Jan_9.jpg,Wiki Commons,,https://icg-prod.s3.amazonaws.com/NKVE_2017_Jan_9.jpg,,,#003e51,,,,,,,,
2016,4,4,,,,,,4 April 2016,Sargsyan threatens to recognise NK,"Armenian President Serzh Sargsyan threatened to recognise Nagorno-Karabakh's independence if tensions were to further escalate on the front lines. ""Should military actions continue and escalate into larger scales, Armenia will recognize the independence of Nagorno-Karabakh"", he said at a meeting with the Ambassadors of the OSCE Participating States. Sargsyan also accused OSCE Minsk-Group member Turkey of ""inciting a great war in the region"" by encouraging the Azerbaijani leadership. ""Turkey is the only country to provide unwavering support to the Azerbaijani adventurism"", he said.",,,,,,,#003e51,,,,,,,,
2016,4,2,,,,,,3 April 2016,"Aliyev declares ""unilateral ceasefire"", Sargsyan dismisses it","Azerbaijan’s president, Ilham Aliyev, called the skirmishes a “great victory” as the country declared a unilateral ceasefire. Armenian President Serzh Sargsyan dismissed the comments calling on foreign powers to urge Baku to the 1994 truce that stopped the first Karabakh war.",,,,,,,#003e51,,,,,,,,
2016,4,5,,,,,,5 April 2016,Putin and OSCE Minsk Group voice alarm,"Russian President Vladimir Putin and the representatives of the OSCE Minsk Group countries separately voiced deep concern over the large-scale military clashes, which claimed numerous lives, and urged on both sides to respect the ceasefire. ",,,,,,,#003e51,,,,,,,,
2016,4,6,,2016,4,8,,6-8 April 2016,Lavrov holds talks with both sides,"Russian Foreign Minister Sergey Lavrov held talks with Azerbaijani President Ilham Aliyev on April 6 and Armenian Foreign Minister Edward Nalbandian on April 8, saying a Russian-brokered ceasefire was the only way to avoid tensions in the region. ",,,,,,,#003e51,,,,,,,,
2016,4,6,,,,,,6 April 2016,Sargsyan meets Merkel,"German Chancellor Angela Merkel met with Armenian President Serzh Sargsyan. ""Azerbaijan bluntly rejects all confidence-building measures and is pursuing other goals"", Sargysyan said. ",,,,,,,#003e51,,,,,,,,
2016,4,7,,2016,4,9,,7-9 April 2016,OSCE Co-Chairs meet de-facto NK leader and Armenian FM,"The OSCE Minsk Group Co-Chairs met with Nagorno-Karabakh's de facto President Bako Sahakyan and Armenian Foreign Minister Edward Nalbandian. ""It is clear to everyone that this offensive was pre-planned and prepared well in advance. Baku used against Nagorno-Karabakh its entire offensive military arsenal, acquired over recent years"", Nalbandian said.",,,,,,,#003e51,,,,,,,,
2016,4,7,,2016,4,8,,7-8 April 2016,Medvedev visits Yerevan and Baku,Russian Prime Minister Dmitry Medvedev travelled to the region for meetings with Armenian President Serzh Sargsyan and Azerbaijani President Ilham Aliyev who both defended their actions.,,,,,,,#003e51,,,,,,,,
2016,4,9,,,,,,9 April 2016,Sargsyan meets ex-President of Armenia,"President of Armenia Serzh Sargsyan <a href=""""https://www.president.am/en/press-release/item/2016/04/09/President-Serzh-Sargsyan-meeting-with-first-President-Levon-Ter-Petrosyan/"""">spoke</a> with Armenia's first president Levon Ter-Petrosyan about the recent tensions along the front lines in a meeting intended to show domestic unity in the face of external threats. ",,,,,,,#003e51,,,,,,,,
2016,4,15,,,,,,15 April 2016,Yerevan hosts CSTO meeting,"Yerevan hosted the Russian-led Collective Security Treaty Organization (CSTO) meeting, which discussed the security situation on the Line of Contact.",,,,,,,#003e51,,,,,,,,
2016,4,22,,,,,,22 April 2016,Sargsyan tells Lavrov talks have failed,"Meeting with Russian Foreign Minsiter Sergey Lavrov, Armenian President Serzh Sargsyan said the escalation of tensions showed the failure of nearly a decade of talks since 2007 and that ""Karabakh and Azerbaijan have nothing in common"".",,,,,,,#003e51,,,,,,,,
2016,5,12,,,,,,12 May 2016,NK: only respect for 1994 ceasefire can lead to talks,"Nagorno-Karabakh's de-facto foreign ministry said compliance with the 1994 ceasefire ""is the only way of creating the necessary conditions for the resumption of the peaceful settlement process"".",,,,,,,#003e51,,,,,,,,
2016,5,12,,,,,,12 May 2016,"Co-Chairs: ""time has come"" for Armenian and Azerbaijani summit","The Co-Chairs of the OSCE Minsk Group hailed an upcoming Vienna summit of the Azerbaijani and Armenian presidents, saying ""the time has come"" given the urgency of reducing tensions in the conflict zone.",,,,,,,#003e51,,,,,,,,
2016,5,16,,,,,,16 May 2016,Armenian and Azerbaijani presidents meet in Vienna,"The presidents of Armenia and Azerbaijan agreed on the need for a full ceasefire to be observed in the breakaway Nagorno-Karabakh region in their first meeting since a dramatic flare-up in violence a month earlier in the Nagorno-Karabakh conflict zone, which killed hundreds of people. Azerbaijani President Ilham Aliyev and Armenian President Serzh Sargsyan also agreed to an expansion of the existing office of the Personal Representative of the OSCE Chairperson-in-Office and that the OSCE would draw up a plan to investigate ceasefire violations.",https://icg-prod.s3.amazonaws.com/NKVE_2016_May_16.jpg,OSCE,,https://icg-prod.s3.amazonaws.com/NKVE_2016_May_16.jpg,,,#003e51,,,,,,,,
2016,5,23,,,,,,23 May 2016,"Azerbaijan FM: NK status quo ""unsustainable and unacceptable""","Azerbaijan's foreign minister said the April escalation on the front line signaled that the “status quo"" is precarious and may lead to renewed violence and severe military clashes. ""Everyone [is] fed up with the status quo which is not reliable and remains unsustainable and unacceptable"", Elmar Mammadyarov said in Brussels for a meeting of foreign ministers of the Eastern Partnership. ""Demilitarization and withdrawal of troops has to be ensured. Moving beyond this situation by means of constructive negotiations can bring desired peace and stability to the region"".",,,,,,,#003e51,,,,,,,,
2016,5,31,,2016,6,2,,31 May - 2 June 2016,Co-Chairs float plan to investigate ceasefire violations,"The Co-Chairs of the OSCE Minsk Group met with Azerbaijani Foreign Minister Elmar Mammadyarov in Brussels on 31 May and with Armenian Foreign Minister Edward Nalbandian in Paris on 2 June for talks on implementing the agreements of their presidents' May summit in Vienna. The Co-Chairs presented their plan for expanding the existing office of the Personal Representative of the OSCE Chairperson-in-Office and establishing an OSCE ""investigative mechanism"" to look into ceasefire violations on the front lines. ",,,,,,,#003e51,,,,,,,,
2016,6,7,,,,,,7 June 2016,Aliyev meets Merkel in Berlin,German Chancellor Angela Merkel discussed the situation in Nagorno-Karabakh with Azerbaijan's President Ilham Aliyev in Berlin.,,,,,,,#003e51,,,,,,,,
2016,6,20,,,,,,20 June 2016,Opposition leader detained and accused of plotting coup,Nagorno-Karabakh war veteran and opposition activist Jirair Sefilian was arrested along with seven other people on suspicion of plotting a government coup.,,,,,,,#003e51,,,,,,,,
2016,6,20,,,,,,20 June 2016,Putin hosts Aliyev and Sargsyan for talks,"Russian President Vladimir Putin hosted talks with his Armenian and Azerbaijani counterparts in St. Petersburg. The two agreed to continue talks, work to normalise the situation on the front lines and to increase the number of international observers, the Kremlin said in a statement. ""The joint statement also expresses the parties’ commitment to putting in place the conditions required for steady progress in negotiations on a political settlement to the conflict"", it said.",https://icg-prod.s3.amazonaws.com/NKVE_2016_Jun_20.jpg,Russian Presidential Administration,,https://icg-prod.s3.amazonaws.com/NKVE_2016_Jun_20(2).jpg,,,#003e51,,,,,,,,
